id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5672880,Cozy with that Special Feeling,17793276,Jean,,Ramsey,44.9977,-93.18159,Private room,50,2,17,2019-05-03,0.31,3,285
5684371,Ryder Cup Rental @ Flying Cloud Airport!,10488589,Mary & Andy,,Hennepin,44.8267,-93.47324,Private room,1000,3,0,,,1,358
5690191,"Cozy, Special-feeling Dormer Room",17793276,Jean,,Ramsey,44.9974,-93.18108,Private room,48,1,26,2018-12-20,0.47,3,0
5697726,Furnished Luxury Eden Prairie Condo,29542294,Chad,,Hennepin,44.85904,-93.4483,Entire home/apt,149,5,8,2019-08-31,0.22,2,90
5735044,Stylish 2Br Condo w/ Lot of Amenities and Balcony,13456552,Margots,,Hennepin,44.9244,-93.22008,Entire home/apt,120,2,27,2019-09-08,0.53,8,60
5790900,Private 1 bedroom near MSP airport,1910465,Kat,,Hennepin,44.8789,-93.2735,Private room,60,1,55,2019-10-12,1.02,1,330
5831973,Lower level of split-entry home,20771032,Erin,,Ramsey,45.091,-93.02383,Private room,70,1,59,2019-09-29,1.18,1,254
5932852,Lake Access Home-5 Min Walk to Grocery/Restaurants,13463953,Lindsay,,Ramsey,45.07566,-93.01761,Entire home/apt,200,5,10,2019-08-31,0.20,1,15
5946613,"The ""Grand Old House"" in NE Mpls",30869840,Susan And Nick,,Hennepin,45.00049,-93.25285,Entire home/apt,74,2,178,2019-10-06,3.32,2,339
5959182,Casa de Barajas-  Front bedroom,30224582,Christine & Alejandro,,Hennepin,44.92584,-93.28695,Private room,75,3,61,2019-09-06,1.15,2,120
5959395,Great home close to the U of M!,6531080,Kirsten,,Hennepin,44.9546,-93.22094,Private room,43,7,28,2019-07-13,0.56,1,320
5984099,Lyn/Lake Oasis,27777876,Tammy,,Hennepin,44.95331,-93.28137,Private room,60,2,23,2018-05-29,0.43,1,0
5987309,Cozy Bedroom at the MakeRoom Guest House,29812829,Thomas,,Hennepin,44.94045,-93.22731,Private room,79,2,73,2019-08-27,1.34,1,353
6000821,High Woods,31141388,Mary Jo And Mike,,Chisago,45.46804,-92.69274,Private room,129,1,8,2019-09-22,0.23,2,358
6027977,Boho Penthouse Nest in Quaint Nordeast - WiFi,2680,Emily,,Hennepin,45.00969,-93.23517,Entire home/apt,80,1,43,2019-10-05,2.42,2,71
6031535,Nokomis Area,18894120,Veronica,,Hennepin,44.90244,-93.2337,Entire home/apt,75,3,40,2018-01-30,0.75,1,8
6040368,Townhouse - Best Area!,20463893,Barbara,,Hennepin,44.92656,-93.28047,Entire home/apt,130,4,36,2019-10-12,0.67,1,159
6041315,Cozy house just off main street,7291344,Mia,,Hennepin,44.90417,-93.57089,Entire home/apt,350,2,9,2019-07-08,0.18,2,0
6042485,On Gorgeous Perch Lake  !,26436868,Sharona And Mitty,,St. Croix,45.05133,-92.69933,Entire home/apt,114,3,78,2019-07-29,1.44,1,0
6051246,Single Family Home in Woodbury MN,28508115,Jonathan,,Washington,44.91736,-92.92276,Entire home/apt,120,1,0,,,1,0
6062994,S&J#13X~7BR 3ba UptownMOA! 11%offAug/Sep,1207842,Scott & Jenna,,Hennepin,44.94928,-93.34629,Entire home/apt,458,2,4,2018-07-30,0.08,41,364
6064690,Private Bedroom - Quiet Suburb,26422295,James,,Sherburne,45.30449,-93.77782,Private room,60,1,37,2019-07-21,0.70,1,320
6089974,Large historic home perfect for families!,7352650,Jeff,,Hennepin,44.96271,-93.30029,Entire home/apt,990,3,12,2019-09-29,0.86,1,317
6172334,"Great 1912 Home in UPTOWN, MPLS",32024489,Dana,,Hennepin,44.94669,-93.28582,Shared room,92,1,0,,,1,365
6184620,Longfellow Flat-Close to Light Rail,32078671,Korla & Alex,,Hennepin,44.94786,-93.22986,Entire home/apt,95,3,167,2019-10-06,3.19,1,206
6195425,Private Apartment Minneapolis - KING SIZE Bed!,107728,Ryan,,Anoka,45.06251,-93.24232,Entire home/apt,70,3,23,2019-09-01,0.43,3,81
6238600,Sunny bedroom in family home,12585390,Urban,,Ramsey,44.94147,-93.15101,Private room,80,1,16,2019-08-24,0.31,2,297
6245263,Bright and Spacious Loft,32424010,Colleen,,Ramsey,44.93284,-93.15918,Private room,75,1,207,2019-10-07,3.90,1,357
6292696,S&J Special! Run-Of-House 3BR Disc!,1207842,Scott & Jenna,,Hennepin,44.92904,-93.35945,Entire home/apt,139,2,6,2019-05-05,0.11,41,365
6300552,Creative Artist Home in Minneapolis,32086450,Brookita,,Hennepin,44.93708,-93.28504,Private room,65,1,31,2019-08-04,0.74,2,18
6300661,Little Purple House (Dog Friendly),4422667,Trudy,,Ramsey,44.94941,-93.05372,Entire home/apt,200,5,72,2019-08-23,1.41,1,320
6303600,3000 sq ft executive townhome near downtown,29950797,Kirk,,Hennepin,44.93708,-93.35416,Entire home/apt,2500,4,0,,,1,365
6317841,Four-Bedroom Home in the Heart of Edina,8905643,John,,Hennepin,44.91137,-93.33611,Entire home/apt,225,5,6,2018-05-30,0.11,1,28
6349535,"",33078623,Joan,,Carver,44.83381,-93.57595,Entire home/apt,800,4,0,,,1,0
6382665,Nordeast is Beautiful Studio Apartment!!,12513712,Patty,,Hennepin,45.01599,-93.21455,Entire home/apt,85,2,76,2019-10-06,1.57,1,142
6424568,Calhoun Walk,33522074,Sid,,Hennepin,44.93886,-93.2973,Entire home/apt,110,2,45,2019-06-30,0.84,1,318
6443154,Beautiful Condo in Heart of Uptown! Dtown in 5 min,20894194,Kristi,,Hennepin,44.95,-93.29522,Entire home/apt,57,60,26,2018-08-13,0.70,1,131
6443829,The Station on Washington Beautiful,33643329,Ken,,Hennepin,44.97439,-93.22895,Private room,900,1,0,,,1,0
6472315,Private bed and bath in charming bungalow,33813735,Candyce,,Hennepin,44.93524,-93.22295,Private room,37,2,73,2019-09-29,1.42,1,293
